stationid,highwayid,milepost,locationtext,length,upstream,downstream,numberlanes,length_mid,downstream_mile,upstream_mile,agencyid,opposite_stationid,segment_geom,station_geom,start_date,end_date,lon,lat,detectortype,detectorlocation,agency,region,active_dates,id,station_location_id
1092,12,71.37,Skyline (2R367) to WB US 26,1.430,3162,3160,3,1.430,70.340,71.770,145,,0102000020110F000016000000668863B3FD0E6AC1B8C876EA6AC05541B6847C08FF0E6AC170A301006AC05541F6285C7F0B0F6AC1306EA3DD61C055419BE61DD9120F6AC158C1A8A85DC055418D28ED47190F6AC1004D84A95AC0554140355E001F0F6AC1186A4D2F58C0554174249743240F6AC1D066D54B57C05541FE65F72C260F6AC13870CED456C05541726891A92D0F6AC158CA326C56C05541C9E53F36360F6AC1002B87EA55C0554147037871440F6AC120C9E52F57C05541A089B0FF530F6AC1D868006B58C05541454772E9550F6AC14803787B58C055412E90A0F2570F6AC1B8F3FD8C58C055417A36AB0E6C0F6AC110F241AF59C05541ED0DBEBC760F6AC170F90F1D5AC055415839B48A7B0F6AC1603255145AC05541F4DBD751830F6AC11848508059C055411C5A64058C0F6AC1402CD4C257C055415A8638EC910F6AC1E0E995C255C0554114D0446E980F6AC150B81ED552C05541E9B7AFD39B0F6AC1305530AA50C05541,0101000020110F0000F60261186C0F6AC14B76835A59C05541,2014-09-15 11:57:00-07,2018-07-26 13:21:00-07,-122.7374709,45.5088563,,,ODOT,,"[2014-09-15,2018-07-26)",634749,293
1092,12,71.37,Skyline (2R367) to WB US 26,1.430,3162,3160,3,1.430,70.340,71.770,145,,0102000020110F000016000000668863B3FD0E6AC1B8C876EA6AC05541B6847C08FF0E6AC170A301006AC05541F6285C7F0B0F6AC1306EA3DD61C055419BE61DD9120F6AC158C1A8A85DC055418D28ED47190F6AC1004D84A95AC0554140355E001F0F6AC1186A4D2F58C0554174249743240F6AC1D066D54B57C05541FE65F72C260F6AC13870CED456C05541726891A92D0F6AC158CA326C56C05541C9E53F36360F6AC1002B87EA55C0554147037871440F6AC120C9E52F57C05541A089B0FF530F6AC1D868006B58C05541454772E9550F6AC14803787B58C055412E90A0F2570F6AC1B8F3FD8C58C055417A36AB0E6C0F6AC110F241AF59C05541ED0DBEBC760F6AC170F90F1D5AC055415839B48A7B0F6AC1603255145AC05541F4DBD751830F6AC11848508059C055411C5A64058C0F6AC1402CD4C257C055415A8638EC910F6AC1E0E995C255C0554114D0446E980F6AC150B81ED552C05541E9B7AFD39B0F6AC1305530AA50C05541,0101000020110F0000F60261186C0F6AC14B76835A59C05541,2012-03-01 00:00:00-08,2014-09-15 11:57:00-07,-122.7374709,45.5088563,,,ODOT,,"[2012-03-01,2014-09-15)",629561,293
1139,609,71.08,WB US 26 Frontage (2R367) at Skyline,1.390,,1146,2,1.390,70.190,71.58,150,,0102000020110F00001D000000E9B7AFD39B0F6AC1305530AA50C05541D044D8CE9D0F6AC1206C78664FC05541B459F543A20F6AC16054529B4CC05541FA7E6A30A90F6AC170CE888247C05541E4839EF7AF0F6AC1A8C64B7F42C05541BD529695B90F6AC180D0B3713BC0554128A089C2C20F6AC19018044634C0554108AC1C74C50F6AC138AB3E2732C0554180B74042CA0F6AC1703D0A5F2EC05541BA6B095DD40F6AC1F8A9F1DA26C055413C2CD4ACDC0F6AC1B07BF2B820C0554104E78C38E10F6AC1A860545E1DC055415AD3BCC5ED0F6AC138DF4FBD15C05541D2915CD0FF0F6AC1C8293A020BC055411E3867360C106AC110363C8504C05541AEB6622D10106AC1180DE0AD02C0554112A5BD5714106AC170567DBE00C05541EA2631821B106AC1D0DEE073FDBF55419D11A50B29106AC1787AA54CF7BF5541168C4ACA3A106AC148BF7DF9EFBF554126E483A044106AC15027A061ECBF55411AC05BA44E106AC1A0ABAD74E9BF5541D656ECBB57106AC1C84B3701E7BF5541C6FEB2F35A106AC138D6C531E6BF55413255305265106AC1E8482ECBE3BF5541C6DCB59071106AC170D7124AE1BF5541623255527B106AC1A0EFA7EADFBF5541A9A44EA488106AC188EB515CDEBF5541E8482EF78E106AC1684DF302DEBF5541,0101000020110F00000E23FE076C0F6AC10BF1D7835CC05541,2012-03-01 00:00:00-08,2014-09-17 06:40:40-07,-122.7374663,45.50893591,,,ODOT,,"[2012-03-01,2014-09-17)",629698,53
1139,609,71.08,WB US 26 Frontage (2R367) at Skyline,1.385,,10134,2,1.385,70.195,71.58,150,,0102000020110F00001D000000E9B7AFD39B0F6AC1305530AA50C05541D044D8CE9D0F6AC1206C78664FC05541B459F543A20F6AC16054529B4CC05541FA7E6A30A90F6AC170CE888247C05541E4839EF7AF0F6AC1A8C64B7F42C05541BD529695B90F6AC180D0B3713BC0554128A089C2C20F6AC19018044634C0554108AC1C74C50F6AC138AB3E2732C0554180B74042CA0F6AC1703D0A5F2EC05541BA6B095DD40F6AC1F8A9F1DA26C055413C2CD4ACDC0F6AC1B07BF2B820C0554104E78C38E10F6AC1A860545E1DC055415AD3BCC5ED0F6AC138DF4FBD15C05541D2915CD0FF0F6AC1C8293A020BC055411E3867360C106AC110363C8504C05541AEB6622D10106AC1180DE0AD02C0554112A5BD5714106AC170567DBE00C05541EA2631821B106AC1D0DEE073FDBF55419D11A50B29106AC1787AA54CF7BF5541168C4ACA3A106AC148BF7DF9EFBF554126E483A044106AC15027A061ECBF55411AC05BA44E106AC1A0ABAD74E9BF5541D656ECBB57106AC1C84B3701E7BF5541C6FEB2F35A106AC138D6C531E6BF55413255305265106AC1E8482ECBE3BF5541C6DCB59071106AC170D7124AE1BF5541623255527B106AC1A0EFA7EADFBF5541A9A44EA488106AC188EB515CDEBF5541E8482EF78E106AC1684DF302DEBF5541,0101000020110F00000E23FE076C0F6AC10BF1D7835CC05541,2014-09-17 06:40:40-07,,-122.7374663,45.50893591,,,ODOT,,"[2014-09-17,)",635594,53
1091,11,71.39,Skyline (2R368) to EB US 26,0.635,1090,3161,3,0.635,71.780,71.145,141,,0102000020110F000017000000705F07D8890F6AC1B0FA5CA152C05541705F074E860F6AC1D019515A53C05541547424F5810F6AC170567D9E53C0554180B7403E7B0F6AC190B96B8153C05541098A1F3B710F6AC14060E55453C05541D49AE605630F6AC198218E2553C05541C286A7AB570F6AC1C8A1457252C05541A9A44E72510F6AC1B88D061052C05541529621302E0F6AC1809543FB50C055412CD49A70280F6AC16866666A51C05541506B9A6B230F6AC130211F8852C05541CCEEC9671E0F6AC1D812F20154C05541AF25E435180F6AC130431CDF56C055411461C3550E0F6AC120D26F575CC05541A3923AB3F90E6AC1903177196AC05541107A360BF20E6AC120C9E5876EC05541E02D90E4EB0E6AC1E8D9AC8A71C055410681958BE60E6AC120F46C3273C055413AB4C800E20E6AC19087852A74C05541DAACFA4ADE0E6AC1C876BE9B74C0554174469412DB0E6AC168BC748F74C05541EC2FBB03D60E6AC1F86C56E173C055413CBD52DCD20E6AC198900F1E73C05541,0101000020110F0000184F3A341C0F6AC1D108667354C05541,2014-08-07 15:48:40-07,,-122.7317295,45.50873284,,,ODOT,,"[2014-08-07,)",634281,243
10369,613,76.23,OR47 SB,15.720,,10365,1,15.720,61.010,76.73,369,,,0101000020110F0000D55D2F0465286AC123886E0186DB5541,2016-05-24 11:32:40-07,,-123.1968996,45.68376291,,,ODOT,,"[2016-05-24,)",647525,235
10529,623,24.41,Newberg Home Acres OR99W SB MP 24.41,1.000,,,2,1.000,23.91,24.91,401,,,0101000020110F0000E46ABFDA1F1D6AC1686F64A05F9F5541,2017-12-19 23:23:40-08,,-122.9895568,45.2958792,,,ODOT,,"[2017-12-19,)",650120,499
10537,606,70.99,DSR US26 @ OR216 Jct EB,10.845,10345,10538,1,10.845,77.250,66.405,403,,,0101000020110F00008C0B3188E4D169C1B48FCDC312865541,2018-03-12 11:36:20-07,,-121.6054813,45.13192954,,,ODOT,,"[2018-03-12,)",650704,506
1120,6,1.81,Taylor (2R385) to SB I-405,0.225,1119,3110,2,0.225,1.790,2.015,63,,0102000020110F000007000000D2915CC6A10C6AC198779C1A28C255419CC420B8A60C6AC1B81E856F0CC2554163EE5A1EA90C6AC1A8DFBEBAFFC1554189D2DE3CAF0C6AC198DD9353DFC15541946588C1B00C6AC1E0E99572D6C15541575BB1EFB20C6AC1286519B2C9C1554126530557BB0C6AC1A84E40579DC15541,0101000020110F000040E717DCC70C6AC14841321459C15541,2014-06-05 12:44:40-07,,-122.68887308585445,45.51529548868655,,,ODOT,,"[2014-06-05,)",631952,9
3162,12,72.17,Zoo Interchange (2DS065) @ WB US26 MP72.17,0.900,3181,1092,4,0.900,71.770,72.670,137,,0102000020110F0000300000001E85EB2BE30D6AC138AB3E6333C05541BE309924E50D6AC128CB10BB2EC0554167D5E70AE80D6AC1D834EFB028C055419A999949EB0D6AC1B07BF2E422C05541B8408216EF0D6AC1280681091EC05541492EFF8FF30D6AC1F01FD2A719C05541E78C28F9F90D6AC110E02D2015C0554177BE9F6E020E6AC1E88C28B110C05541CEAACF150A0E6AC1A0EFA7E60CC05541FC87F481150E6AC188D2DE3407C055417C6132E3220E6AC1C8FEB26B02C05541900F7A82290E6AC16844692300C05541B29DEF452D0E6AC1D8F97E36FFBF55418C4AEA28310E6AC148BF7D85FEBF5541E6AE255A350E6AC1B0B6624BFEBF55419CC42050390E6AC1B0506BAEFEBF55418716D9D63E0E6AC1A089B095FFBF5541DDB58404440E6AC158A8355901C05541423EE8EF480E6AC11061C3EB03C05541BC0512B84F0E6AC148B6F39D07C0554152499D9A5D0E6AC1A80A461511C05541787AA53E6A0E6AC110E02D7C19C055410A6822466E0E6AC1E8FBA9291CC05541CE195152780E6AC10019736F23C05541E61DA716850E6AC150B81E5D2CC055419031777B8A0E6AC1F8A9F1C230C055419F3C2C768F0E6AC1402CD48A35C055414EF38E6F950E6AC1A8F1D2F13BC05541E8D9ACDAA10E6AC1480378274BC05541B20C71B6AE0E6AC120B9FCCF5AC05541CA54C1C2B10E6AC1083D9B9D5EC055419BE61DA9B50E6AC1181DC95563C055415EDC46ADB90E6AC1A067B3CE67C055415227A0A7BE0E6AC1A045B6776CC05541B2BFECD6C20E6AC1F041CF1670C05541847CD0D9C60E6AC160764F9A72C055413B70CE74CB0E6AC1C87F480775C055416B2BF6C3CF0E6AC178029AB476C05541D066D5EDD40E6AC1280F0B2578C05541E09C1115DA0E6AC11895D4D178C05541363CBDA6DE0E6AC1A080269278C055413E0AD767E30E6AC10044FAED77C0554111363CDDE70E6AC160FE438A76C05541FDF675CAEC0E6AC130772D8D74C055419BE61D0DF10E6AC1B0FA5C9972C05541BF0E9CEDF40E6AC1D812F27970C055415CB1BF80FA0E6AC178E9261D6DC05541668863B3FD0E6AC1B8C876EA6AC05541,0101000020110F00003AD10B956C0E6AC1EB51B5ED1AC05541,2014-09-15 11:57:00-07,2018-07-02 13:24:20-07,-122.7191084,45.50728432,,,ODOT,,"[2014-09-15,2018-07-02)",634741,238
3162,12,72.17,Zoo Interchange (2DS065) @ WB US26 MP72.17,0.640,10552,1092,4,0.640,71.770,72.410,137,,0102000020110F0000300000001E85EB2BE30D6AC138AB3E6333C05541BE309924E50D6AC128CB10BB2EC0554167D5E70AE80D6AC1D834EFB028C055419A999949EB0D6AC1B07BF2E422C05541B8408216EF0D6AC1280681091EC05541492EFF8FF30D6AC1F01FD2A719C05541E78C28F9F90D6AC110E02D2015C0554177BE9F6E020E6AC1E88C28B110C05541CEAACF150A0E6AC1A0EFA7E60CC05541FC87F481150E6AC188D2DE3407C055417C6132E3220E6AC1C8FEB26B02C05541900F7A82290E6AC16844692300C05541B29DEF452D0E6AC1D8F97E36FFBF55418C4AEA28310E6AC148BF7D85FEBF5541E6AE255A350E6AC1B0B6624BFEBF55419CC42050390E6AC1B0506BAEFEBF55418716D9D63E0E6AC1A089B095FFBF5541DDB58404440E6AC158A8355901C05541423EE8EF480E6AC11061C3EB03C05541BC0512B84F0E6AC148B6F39D07C0554152499D9A5D0E6AC1A80A461511C05541787AA53E6A0E6AC110E02D7C19C055410A6822466E0E6AC1E8FBA9291CC05541CE195152780E6AC10019736F23C05541E61DA716850E6AC150B81E5D2CC055419031777B8A0E6AC1F8A9F1C230C055419F3C2C768F0E6AC1402CD48A35C055414EF38E6F950E6AC1A8F1D2F13BC05541E8D9ACDAA10E6AC1480378274BC05541B20C71B6AE0E6AC120B9FCCF5AC05541CA54C1C2B10E6AC1083D9B9D5EC055419BE61DA9B50E6AC1181DC95563C055415EDC46ADB90E6AC1A067B3CE67C055415227A0A7BE0E6AC1A045B6776CC05541B2BFECD6C20E6AC1F041CF1670C05541847CD0D9C60E6AC160764F9A72C055413B70CE74CB0E6AC1C87F480775C055416B2BF6C3CF0E6AC178029AB476C05541D066D5EDD40E6AC1280F0B2578C05541E09C1115DA0E6AC11895D4D178C05541363CBDA6DE0E6AC1A080269278C055413E0AD767E30E6AC10044FAED77C0554111363CDDE70E6AC160FE438A76C05541FDF675CAEC0E6AC130772D8D74C055419BE61D0DF10E6AC1B0FA5C9972C05541BF0E9CEDF40E6AC1D812F27970C055415CB1BF80FA0E6AC178E9261D6DC05541668863B3FD0E6AC1B8C876EA6AC05541,0101000020110F00003AD10B956C0E6AC1EB51B5ED1AC05541,2018-07-02 13:24:20-07,,-122.7191084,45.50728432,,,ODOT,,"[2018-07-02,)",652358,238
3180,11,69.31,OR 217 Camera 89 (2DS067) @ EB US26 MP69.31,0.840,1089,1090,3,0.840,70.105,69.265,133,,0102000020110F000014000000B7D100588B116AC1580E2D2E2EC05541CE88D27A83116AC14079583828C05541C286A7C378116AC1F8EDEB8020C05541CE1951A66C116AC1C8EEC9B317C055419F3C2CC064116AC1704694B612C055412FDD24B45B116AC1B8AF03130DC0554122FDF6554A116AC198779CFA01C055413A014D9E3A116AC1B8847C7CF9BF55412EFF21E132116AC1D812F2C5F5BF55417E8CB90329116AC1F0C9C3B6F1BF55412C431C4520116AC188D2DE60EEBF55416054523F0F116AC1408B6C77E8BF5541992A180502116AC180954333E4BF554152499D54F4106AC118265345E0BF55413E0AD737EA106AC1C898BBB2DDBF5541A01A2FF9DF106AC1105839D8DBBF55411283C0B6D3106AC12085EB8DD9BF55416EC5FE72C5106AC1B0FA5CE1D7BF55411FF46CAEB2106AC1C86D3420D6BF55418D28ED77A7106AC1F02FBBA7D5BF5541,0101000020110F0000FEEEB31E9C116AC1A4198AFA3BC05541,2014-10-01 11:35:40-07,2018-07-26 13:21:00-07,-122.7777172,45.50811659,,,ODOT,,"[2014-10-01,2018-07-26)",636740,275
3180,11,69.31,OR 217 Camera 89 (2DS067) @ EB US26 MP69.31,0.275,1089,10554,3,0.275,69.540,69.265,133,,0102000020110F000014000000B7D100588B116AC1580E2D2E2EC05541CE88D27A83116AC14079583828C05541C286A7C378116AC1F8EDEB8020C05541CE1951A66C116AC1C8EEC9B317C055419F3C2CC064116AC1704694B612C055412FDD24B45B116AC1B8AF03130DC0554122FDF6554A116AC198779CFA01C055413A014D9E3A116AC1B8847C7CF9BF55412EFF21E132116AC1D812F2C5F5BF55417E8CB90329116AC1F0C9C3B6F1BF55412C431C4520116AC188D2DE60EEBF55416054523F0F116AC1408B6C77E8BF5541992A180502116AC180954333E4BF554152499D54F4106AC118265345E0BF55413E0AD737EA106AC1C898BBB2DDBF5541A01A2FF9DF106AC1105839D8DBBF55411283C0B6D3106AC12085EB8DD9BF55416EC5FE72C5106AC1B0FA5CE1D7BF55411FF46CAEB2106AC1C86D3420D6BF55418D28ED77A7106AC1F02FBBA7D5BF5541,0101000020110F0000FEEEB31E9C116AC1A4198AFA3BC05541,2018-07-26 13:21:00-07,,-122.7777172,45.50811659,,,ODOT,,"[2018-07-26,)",652489,275
3160,12,69.31,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,0.785,10558,1094,3,0.785,68.755,69.540,135,,0102000020110F000014000000E8482EF78E106AC1684DF302DEBF5541FC3A709095106AC130E6AEA5DDBF55410E9C3346A5106AC1083D9B45DDBF5541ED0DBE06B8106AC1806ABCE0DDBF5541ABCFD5FECA106AC1F875E000DFBF554141F1635CDD106AC1A0B437F8E1BF554168B3EA51E7106AC1F8C264B2E3BF554181954321F3106AC13880B718E6BF5541C58F312DFE106AC158423E44E9BF5541CE88D2800A116AC150840DDBECBF554161C3D38F14116AC100780BACEFBF554165AA60F623116AC1F853E339F6BF5541F241CFF036116AC138CD3BBAFEBF5541AE47E11046116AC1907EFBB206C0554173D712AA4A116AC100917EF308C05541F263CC035A116AC1E0E00B9311C05541D200DEDE66116AC1A03C2C9419C05541A69BC45E72116AC180D93D4521C055413480B7C47C116AC1A05E292B28C055415A8638D87D116AC1C854C1F828C05541,0101000020110F0000F3183BF89B116AC1AD1184C140C05541,2018-07-26 13:21:00-07,,-122.7777064,45.50823689,,,ODOT,,"[2018-07-26,)",652613,261
3160,12,69.31,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,1.585,1092,1094,3,1.585,68.755,70.340,135,,0102000020110F000014000000E8482EF78E106AC1684DF302DEBF5541FC3A709095106AC130E6AEA5DDBF55410E9C3346A5106AC1083D9B45DDBF5541ED0DBE06B8106AC1806ABCE0DDBF5541ABCFD5FECA106AC1F875E000DFBF554141F1635CDD106AC1A0B437F8E1BF554168B3EA51E7106AC1F8C264B2E3BF554181954321F3106AC13880B718E6BF5541C58F312DFE106AC158423E44E9BF5541CE88D2800A116AC150840DDBECBF554161C3D38F14116AC100780BACEFBF554165AA60F623116AC1F853E339F6BF5541F241CFF036116AC138CD3BBAFEBF5541AE47E11046116AC1907EFBB206C0554173D712AA4A116AC100917EF308C05541F263CC035A116AC1E0E00B9311C05541D200DEDE66116AC1A03C2C9419C05541A69BC45E72116AC180D93D4521C055413480B7C47C116AC1A05E292B28C055415A8638D87D116AC1C854C1F828C05541,0101000020110F0000F3183BF89B116AC1AD1184C140C05541,2015-06-02 15:09:00-07,2018-07-26 13:21:00-07,-122.7777064,45.50823689,,,ODOT,,"[2015-06-02,2018-07-26)",641948,261
3160,12,69.31,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,1.530,1092,,3,1.530,68.81,70.340,135,,0102000020110F000014000000E8482EF78E106AC1684DF302DEBF5541FC3A709095106AC130E6AEA5DDBF55410E9C3346A5106AC1083D9B45DDBF5541ED0DBE06B8106AC1806ABCE0DDBF5541ABCFD5FECA106AC1F875E000DFBF554141F1635CDD106AC1A0B437F8E1BF554168B3EA51E7106AC1F8C264B2E3BF554181954321F3106AC13880B718E6BF5541C58F312DFE106AC158423E44E9BF5541CE88D2800A116AC150840DDBECBF554161C3D38F14116AC100780BACEFBF554165AA60F623116AC1F853E339F6BF5541F241CFF036116AC138CD3BBAFEBF5541AE47E11046116AC1907EFBB206C0554173D712AA4A116AC100917EF308C05541F263CC035A116AC1E0E00B9311C05541D200DEDE66116AC1A03C2C9419C05541A69BC45E72116AC180D93D4521C055413480B7C47C116AC1A05E292B28C055415A8638D87D116AC1C854C1F828C05541,0101000020110F0000F3183BF89B116AC1AD1184C140C05541,2014-09-17 07:01:20-07,2015-06-02 15:09:00-07,-122.7777064,45.50823689,,,ODOT,,"[2014-09-17,2015-06-02)",635613,261
1146,609,69.3,Barnes (2R355) to WB US 26 Frontage,32.690,1139,1145,2,32.690,37.500,70.190,151,,0102000020110F00000F0000005A8638D87D116AC1C854C1F828C05541B437F88880116AC1F0C9C3FA2AC055416EC5FE4A95116AC198BB96083BC055414A0C026BA2116AC1B02E6ECB46C055413A234A45A3116AC1B8270F8F47C05541FC87F469A5116AC11083C07A49C055411895D4A1A6116AC1C03923924AC055416C787AEDA6116AC1901804D64AC055416E348009AD116AC12818955450C0554126E483FCC2116AC1C8DCB59464C0554160545297CF116AC1F8EDEBF070C05541ECC03903FA116AC1B8490CCA9EC05541CFF7532DFF116AC1C0529641A4C055410E9C338A05126AC16007CEFDAAC0554192CB7F1C11126AC14847723DB7C05541,0101000020110F000050BFF550BA116AC1480AEFA48EC05541,2012-03-01 00:00:00-08,2014-06-12 10:02:00-07,-122.779887265028,45.5101982259121,,,ODOT,,"[2012-03-01,2014-06-12)",629583,54
3106,3,23.27,Prescott (2DS005) @ NB I-205 MP23.27,0.865,3164,1140,4,0.865,23.340,22.475,265,,0102000020110F00002300000079E9261FC9056AC1D8D781131FC655419A9999CBC8056AC1C832C40122C65541787AA506C8056AC11083C0022BC6554116D9CE8DC7056AC1984C15AC3DC65541AC8BDB98C7056AC158EC2F874AC65541DC4603DEC7056AC180FB3A2452C65541D2DEE0F5C7056AC18838D6C554C655411461C34BC8056AC1283A92235AC6554106819579C8056AC1280F0B015DC65541B0E1E91FC9056AC1280F0BA566C655414C37896FCA056AC1B88D061877C6554194180434CE056AC110022B038DC6554169006F2BD3056AC158D3BC5BA2C6554165AA605ED9056AC1B8DA8A55B6C6554133C4B156DF056AC1A0923AE5C5C65541333333C5E5056AC1D8F97E92D4C65541849ECDA8E9056AC1904AEABCDCC655410E2DB231F3056AC1D812F2CDEFC65541E3361A36FD056AC1F0FDD43403C7554199BB967204066AC1E002097611C75541D044D81E09066AC11083C0061BC755414CA60A3A0E066AC1186A4D3726C75541CDCCCC1212066AC118FBCB2E30C75541E8482EBB15066AC150F38E1B3BC75541280F0BCB18066AC1E05817BF45C7554128ED0D9A1B066AC1D81B7C6951C75541EA95B2FC1D066AC150E3A53F5CC755416C09F90420066AC138AB3E8767C755419A779C0822066AC170B5154375C755413AB4C8AA23066AC170787A6D86C755416F81045924066AC198D4098090C75541B1506B9424066AC168006F559AC75541B9FC87B624066AC1C0CAA1C9A2C7554102BC055424066AC11061C327B1C75541DE718AE623066AC1605452D3BCC75541,0101000020110F00005AF1308225066AC1EFAC12839CC75541,2014-10-23 13:02:40-07,2014-10-24 13:02:40-07,-122.5668207,45.5556533,,,ODOT,,"[2014-10-23,2014-10-24)",638805,140
3106,3,23.27,Prescott (2DS005) @ NB I-205 MP23.27,0.195,10580,1140,4,0.195,23.340,23.145,265,,0102000020110F00002300000079E9261FC9056AC1D8D781131FC655419A9999CBC8056AC1C832C40122C65541787AA506C8056AC11083C0022BC6554116D9CE8DC7056AC1984C15AC3DC65541AC8BDB98C7056AC158EC2F874AC65541DC4603DEC7056AC180FB3A2452C65541D2DEE0F5C7056AC18838D6C554C655411461C34BC8056AC1283A92235AC6554106819579C8056AC1280F0B015DC65541B0E1E91FC9056AC1280F0BA566C655414C37896FCA056AC1B88D061877C6554194180434CE056AC110022B038DC6554169006F2BD3056AC158D3BC5BA2C6554165AA605ED9056AC1B8DA8A55B6C6554133C4B156DF056AC1A0923AE5C5C65541333333C5E5056AC1D8F97E92D4C65541849ECDA8E9056AC1904AEABCDCC655410E2DB231F3056AC1D812F2CDEFC65541E3361A36FD056AC1F0FDD43403C7554199BB967204066AC1E002097611C75541D044D81E09066AC11083C0061BC755414CA60A3A0E066AC1186A4D3726C75541CDCCCC1212066AC118FBCB2E30C75541E8482EBB15066AC150F38E1B3BC75541280F0BCB18066AC1E05817BF45C7554128ED0D9A1B066AC1D81B7C6951C75541EA95B2FC1D066AC150E3A53F5CC755416C09F90420066AC138AB3E8767C755419A779C0822066AC170B5154375C755413AB4C8AA23066AC170787A6D86C755416F81045924066AC198D4098090C75541B1506B9424066AC168006F559AC75541B9FC87B624066AC1C0CAA1C9A2C7554102BC055424066AC11061C327B1C75541DE718AE623066AC1605452D3BCC75541,0101000020110F00005AF1308225066AC1EFAC12839CC75541,2019-10-14 19:20:40-07,,-122.5668207,45.5556533,,,ODOT,,"[2019-10-14,)",655926,140
3106,3,23.27,Prescott (2DS005) @ NB I-205 MP23.27,0.865,3164,1140,4,0.865,23.340,22.475,265,,0102000020110F00002300000079E9261FC9056AC1D8D781131FC655419A9999CBC8056AC1C832C40122C65541787AA506C8056AC11083C0022BC6554116D9CE8DC7056AC1984C15AC3DC65541AC8BDB98C7056AC158EC2F874AC65541DC4603DEC7056AC180FB3A2452C65541D2DEE0F5C7056AC18838D6C554C655411461C34BC8056AC1283A92235AC6554106819579C8056AC1280F0B015DC65541B0E1E91FC9056AC1280F0BA566C655414C37896FCA056AC1B88D061877C6554194180434CE056AC110022B038DC6554169006F2BD3056AC158D3BC5BA2C6554165AA605ED9056AC1B8DA8A55B6C6554133C4B156DF056AC1A0923AE5C5C65541333333C5E5056AC1D8F97E92D4C65541849ECDA8E9056AC1904AEABCDCC655410E2DB231F3056AC1D812F2CDEFC65541E3361A36FD056AC1F0FDD43403C7554199BB967204066AC1E002097611C75541D044D81E09066AC11083C0061BC755414CA60A3A0E066AC1186A4D3726C75541CDCCCC1212066AC118FBCB2E30C75541E8482EBB15066AC150F38E1B3BC75541280F0BCB18066AC1E05817BF45C7554128ED0D9A1B066AC1D81B7C6951C75541EA95B2FC1D066AC150E3A53F5CC755416C09F90420066AC138AB3E8767C755419A779C0822066AC170B5154375C755413AB4C8AA23066AC170787A6D86C755416F81045924066AC198D4098090C75541B1506B9424066AC168006F559AC75541B9FC87B624066AC1C0CAA1C9A2C7554102BC055424066AC11061C327B1C75541DE718AE623066AC1605452D3BCC75541,0101000020110F00005AF1308225066AC1EFAC12839CC75541,2014-12-04 15:15:00-08,2019-10-14 19:20:40-07,-122.5668207,45.5556533,,,ODOT,,"[2014-12-04,2019-10-14)",640449,140
1054,4,17.5,Foster (2R033) to SB I-205,1.340,1053,1098,4,1.340,16.870,18.210,470,,0102000020110F000016000000C8073DC31C066AC1A82C433084BC554130992A181C066AC1C042AD8150BC5541742497231B066AC1A8C64B670DBC554134A2B4871A066AC1408B6CA3D4BB55413AB4C8421A066AC1D80968D6BCBB55414EF38EEB19066AC108F9A0AF9EBB55417268916319066AC1806ABCB46FBB5541CB10C7DC17066AC118FBCB2205BB5541A835CD6516066AC1403EE82DCBBA5541394547F815066AC1E83FA4F39CBA5541EA04340B15066AC16819E2347CBA554188635D2C15066AC1E8D9AC1666BA5541267502C015066AC1A8CFD5E251BA55413AB4C89216066AC1E88C28953CBA5541B459F5B917066AC1B896905729BA5541CE88D26E19066AC1A88251B518BA55418F5374DA1B066AC1D88AFD9906BA5541211FF4DC1F066AC1D8ACFAB8EFB95541847CD03324066AC178711B09DAB95541C8293A2029066AC16029CB14C5B95541F48E53782F066AC128A913C8AEB95541081B9E9836066AC1388941F095B95541,0101000020110F0000F2C6EDA617066AC10829A074D4BA5541,2014-12-01 16:07:40-08,,-122.5658249,45.47326611,,,ODOT,,"[2014-12-01,)",639871,123
1031,2,304.85,Rosa Parks (2R014) to SB I-5,0.660,1030,1032,3,0.660,304.465,305.125,182,,0102000020110F000006000000CA395D4C3A0C6AC1E9B28123CFC8554107EC95993A0C6AC123AE5F5E14C95541DEA866543A0C6AC1EB445BB16FC95541349BFDFF390C6AC193EF7022A1C9554153E31BFC3A0C6AC183E375A839CA55414BA910F33A0C6AC1843B264B41CA5541,0101000020110F0000BB3EDC443B0C6AC1A7C9041C55C95541,2015-06-17 14:08:40-07,2020-08-12 09:01:00-07,-122.6787695,45.5667379,,,ODOT,,"[2015-06-17,2020-08-12)",643031,77
1031,2,304.85,Rosa Parks (2R014) to SB I-5,0.550,1030,10640,3,0.550,304.575,305.125,182,,0102000020110F000006000000CA395D4C3A0C6AC1E9B28123CFC8554107EC95993A0C6AC123AE5F5E14C95541DEA866543A0C6AC1EB445BB16FC95541349BFDFF390C6AC193EF7022A1C9554153E31BFC3A0C6AC183E375A839CA55414BA910F33A0C6AC1843B264B41CA5541,0101000020110F0000BB3EDC443B0C6AC1A7C9041C55C95541,2020-08-12 09:01:00-07,,-122.6787695,45.5667379,,,ODOT,,"[2020-08-12,)",657020,77
